species,status,uniprot_accession,uniprot_entry_name,organism_taxon_id,sequence_length,reviewed,length_plausible,fetch_date_utc,source_url
Escherichia coli,found_reviewed,P37197,CCP_ECOLI,83333,465,True,False,2026-07-17T10:42:27.567414+00:00,https://rest.uniprot.org/uniprotkb/P37197
Bacillus subtilis,found_reviewed,P24011,COX2_BACSU,224308,356,True,False,2026-07-17T10:42:29.512924+00:00,https://rest.uniprot.org/uniprotkb/P24011
Pseudomonas aeruginosa,found_reviewed,P00099,CY551_PSEAE,208964,104,True,True,2026-07-17T10:42:31.664139+00:00,https://rest.uniprot.org/uniprotkb/P00099
Rhodobacter sphaeroides,found_unreviewed,Q53094,Q53094_CERSP,1063,115,False,True,2026-07-17T10:42:33.484341+00:00,https://rest.uniprot.org/uniprotkb/Q53094
Saccharomyces cerevisiae,found_reviewed,P00044,CYC1_YEAST,559292,109,True,True,2026-07-17T10:42:35.555097+00:00,https://rest.uniprot.org/uniprotkb/P00044
Neurospora crassa,found_reviewed,P00048,CYC_NEUCR,367110,108,True,True,2026-07-17T10:42:37.333983+00:00,https://rest.uniprot.org/uniprotkb/P00048
Aspergillus nidulans,found_reviewed,P38091,CYC_EMENI,227321,113,True,True,2026-07-17T10:42:38.972442+00:00,https://rest.uniprot.org/uniprotkb/P38091
Candida albicans,found_reviewed,P53698,CYC_CANAL,237561,110,True,True,2026-07-17T10:42:40.674508+00:00,https://rest.uniprot.org/uniprotkb/P53698
Dictyostelium discoideum,found_reviewed,Q869N1,CYC_DICDI,44689,113,True,True,2026-07-17T10:42:42.355689+00:00,https://rest.uniprot.org/uniprotkb/Q869N1
Plasmodium falciparum,found_unreviewed,W7JYH6,W7JYH6_PLAFO,5843,83,False,True,2026-07-17T10:42:44.258717+00:00,https://rest.uniprot.org/uniprotkb/W7JYH6
Trypanosoma brucei,found_reviewed,P18822,CYC_TRYBB,5702,93,True,True,2026-07-17T10:42:46.203272+00:00,https://rest.uniprot.org/uniprotkb/P18822
